,EXT_NEG_LY_S21_L001,LY_BR1_D_S11_L001,LY_BR1_Detrit_S1_L001,LY_BR1_Toxo_S6_L001,LY_BR1_W1_S16_L001,LY_BR2_D_S12_L001,LY_BR2_Detrit_S2_L001,LY_BR2_Toxo_S7_L001,LY_BR2_W2_S17_L001,LY_BR3_D_S13_L001,LY_BR3_Detrit_S3_L001,LY_BR3_Toxo_S8_L001,LY_BR3_W1_S18_L001,LY_BR4_D_S14_L001,LY_BR4_Detrit_S4_L001,LY_BR4_Toxo_S9_L001,LY_BR4_W1_S19_L001,LY_BR5_D_S15_L001,LY_BR5_Detrit_S5_L001,LY_BR5_Toxo_S10_L001,LY_BR5_W1_S20_L001,PCR_pos_LY_S22_L001
Otu2834,0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Otu2835,0,5,0,0,9,31,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2836,0,5,0,0,0,0,0,0,0,5,0,1,3,2,0,0,1,28,0,1,1,0
Otu2837,0,16,1,5,9,1,0,0,0,6,0,3,1,0,0,0,0,2,0,3,0,0
Otu2838,0,17,0,0,1,0,0,0,0,4,0,0,7,3,0,3,2,8,0,0,2,0
Otu2839,0,1,0,0,23,0,0,0,0,0,0,0,2,7,0,0,13,1,0,0,0,0
Otu2840,0,2,0,0,2,0,0,0,0,0,0,0,1,17,0,0,1,20,0,0,4,0
Otu2841,0,12,0,0,4,1,0,0,1,1,1,1,4,8,0,0,8,5,0,0,1,0
Otu2842,0,1,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,16,0,1,18,0
Otu2845,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,4,0
Otu2846,0,0,0,0,3,0,0,0,0,20,13,0,10,0,0,0,0,0,0,0,0,0
Otu2847,0,0,0,0,0,0,0,0,0,6,0,1,24,0,1,0,0,9,0,0,5,0
Otu2849,0,10,0,0,1,2,0,0,0,6,0,0,11,0,0,0,4,9,0,1,2,0
Otu2850,0,24,0,16,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu2851,0,2,0,0,0,0,0,0,0,4,0,10,5,0,0,0,0,16,0,6,3,0
Otu2852,0,0,0,0,3,0,0,0,1,1,0,0,1,33,0,0,0,6,0,0,1,0
Otu2854,0,4,0,0,0,0,0,0,1,4,0,0,5,6,0,0,0,22,0,1,3,0
Otu2855,0,0,0,0,2,0,0,0,1,11,0,0,26,0,0,0,6,0,0,0,0,0
Otu2856,0,39,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0
Otu2857,0,1,0,0,13,0,0,0,0,0,0,4,0,0,9,2,5,7,0,0,5,0
Otu2858,0,0,0,23,0,0,0,0,0,0,19,1,1,0,0,0,1,0,1,0,0,0
Otu2860,0,4,0,0,20,4,0,3,4,7,0,0,1,0,0,0,1,1,0,0,1,0
Otu2861,0,5,0,0,1,16,0,1,4,1,0,0,4,5,3,0,2,2,0,2,0,0
Otu2862,0,4,3,2,0,1,0,0,0,4,4,2,14,0,9,0,0,0,3,0,0,0
Otu2866,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,37,0,0,0
Otu2867,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
Otu2868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,44,0
Otu2869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,12,0,0
Otu2871,0,0,0,0,0,0,0,0,0,2,0,0,43,0,0,0,1,0,0,0,0,0
Otu2872,0,0,0,0,0,8,0,0,13,0,0,0,0,0,0,0,23,0,0,0,2,0
Otu2873,0,0,0,0,2,2,0,0,0,7,0,1,3,29,0,1,0,0,0,0,1,0
Otu2874,0,5,0,5,1,0,0,0,0,0,0,0,0,1,0,32,0,1,0,0,1,0
Otu2876,0,0,0,0,0,0,0,0,0,29,0,0,2,0,0,0,4,9,0,1,1,0
Otu2877,0,5,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Otu2879,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,21,0,0,0,1,0
Otu2880,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,2,0,29,6,0
Otu2881,0,0,0,0,0,1,0,0,0,2,1,1,36,0,0,0,0,0,0,0,4,0
Otu2882,0,0,0,0,0,1,0,0,0,3,0,0,16,9,0,0,3,9,0,0,4,0
Otu2885,0,0,0,0,0,8,0,3,6,0,0,0,1,0,0,0,27,0,0,0,0,0
Otu2886,0,0,0,0,11,1,0,0,6,0,0,0,0,0,0,0,27,0,0,0,0,0
Otu2887,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,27,0,0,0,0,0
Otu2888,0,0,0,0,16,0,0,0,0,1,0,0,9,7,0,0,10,0,2,0,0,0
Otu2890,0,1,0,0,0,10,0,0,0,10,0,0,1,21,0,0,0,2,0,0,0,0
Otu2891,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,39,3,0
Otu2892,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0
Otu2893,0,0,0,0,0,2,39,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Otu2894,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,21,13,0,0
Otu2895,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,27,10,1,0,0,0,0
Otu2897,0,7,4,11,4,0,0,0,0,3,9,0,6,0,1,0,0,0,0,0,0,0
Otu2898,0,10,0,0,3,0,0,0,0,1,0,0,1,5,1,1,12,2,3,1,5,0
Otu2899,0,2,0,0,1,0,0,40,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Otu2900,0,26,0,0,3,0,0,2,2,3,0,0,0,5,0,0,1,2,0,1,0,0
Otu2901,0,2,0,0,0,0,0,0,0,4,0,0,2,4,0,0,9,9,0,8,7,0
Otu2902,0,1,0,0,10,0,0,0,0,13,1,0,20,0,0,0,0,0,0,0,0,0
Otu2903,0,2,1,2,5,0,0,8,3,0,1,7,0,2,0,4,2,1,1,2,3,1
Otu2904,0,1,0,0,0,4,0,0,0,35,0,0,0,5,0,0,0,0,0,0,0,0
Otu2905,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,27,0
Otu2906,0,6,0,0,0,0,0,0,0,2,1,1,4,0,1,0,1,10,9,4,6,0
Otu2907,0,3,0,0,0,0,0,0,0,1,0,10,5,0,0,19,6,1,0,0,0,0
Otu2908,0,19,0,0,1,0,0,2,2,0,0,2,3,4,0,1,1,2,0,2,6,0
Otu2909,0,1,0,0,0,0,0,0,0,9,0,0,14,0,0,0,0,2,0,3,16,0
Otu2910,0,0,40,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Otu2911,0,0,2,41,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Otu2912,41,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0
Otu2914,0,0,2,7,0,0,19,0,0,0,0,0,3,0,13,0,1,0,0,0,0,0
Otu2915,0,0,0,0,0,0,0,0,0,3,0,2,0,19,0,0,2,13,0,0,6,0
Otu2916,0,0,0,0,0,0,0,0,0,0,29,0,2,0,0,0,0,0,0,0,14,0
Otu2917,0,0,0,0,0,0,0,0,0,0,0,0,17,24,0,3,1,0,0,0,0,0
Otu2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,26,0
Otu2921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,43,0
Otu2922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,3,12,0
Otu2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,2,0
Otu2924,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,1,0,0,0,0
Otu2925,0,0,0,0,0,0,0,0,0,26,0,0,14,0,0,0,0,4,0,0,1,0
Otu2926,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,43,0
Otu2927,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,43,0
Otu2928,0,0,0,0,0,0,0,0,0,0,0,19,0,11,0,6,2,0,0,7,0,0
Otu2930,0,0,0,0,0,0,0,0,0,2,0,0,30,0,0,0,0,2,0,0,11,0
Otu2931,0,0,0,0,0,0,0,0,0,5,1,0,39,0,0,0,0,0,0,0,0,0
Otu2932,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,30,12,0,0,0,0
Otu2933,0,0,0,0,0,0,0,0,0,4,0,0,41,0,0,0,0,0,0,0,0,0
Otu2934,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
Otu2935,0,0,0,0,3,0,0,0,1,6,0,1,13,2,0,0,4,5,0,0,9,0
Otu2936,0,1,0,2,1,1,1,2,1,1,3,10,0,0,2,3,8,0,0,4,2,2
Otu2937,0,1,0,0,0,7,0,0,0,10,0,0,1,19,0,0,0,5,0,0,1,0
Otu2938,0,2,0,1,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2939,0,1,0,26,0,0,0,0,0,0,2,1,0,0,0,0,0,0,14,0,0,0
Otu2940,0,1,0,0,0,0,0,0,0,10,0,0,25,0,0,0,0,6,0,1,1,0
Otu2941,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,2,0,0
Otu2942,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,36,0
Otu2943,0,0,0,0,5,1,0,2,31,0,0,0,4,0,0,0,1,0,0,0,0,0
Otu2944,0,0,0,0,0,0,0,0,0,39,0,0,5,0,0,0,0,0,0,0,0,0
Otu2945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0
Otu2946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,26,5,0
Otu2947,0,0,0,0,0,0,0,0,0,2,0,5,32,0,0,0,0,2,0,0,2,1
Otu2948,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,38,0,0,0
Otu2949,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0,0,4,0
Otu2950,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,0,1,2,0,3,0
Otu2951,0,0,0,0,0,0,0,0,0,2,0,1,0,2,5,5,4,4,0,21,0,0
Otu2952,0,0,0,0,0,0,0,0,0,2,0,0,40,0,0,0,0,0,0,0,2,0
Otu2953,0,16,0,0,5,0,0,0,0,0,0,0,0,9,0,1,1,9,0,1,2,0
Otu2954,0,1,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,19,0,3,7,1
Otu2955,0,8,0,0,20,9,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0
Otu2956,0,0,0,0,19,0,0,2,5,0,0,0,0,0,0,0,18,0,0,0,0,0
Otu2957,0,1,0,0,1,0,0,0,0,1,0,1,6,3,0,0,0,8,2,7,14,0
Otu2958,0,9,0,0,15,4,0,0,3,3,0,0,3,0,0,0,0,2,0,0,5,0
Otu2959,0,11,0,1,20,8,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
Otu2960,0,7,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,18,0,10,3,0
Otu2961,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,10,0
Otu2962,0,0,0,0,1,0,0,1,3,0,0,3,10,0,0,0,1,1,0,5,19,0
Otu2963,0,17,0,0,2,9,0,0,0,2,0,1,0,3,0,0,1,5,0,2,1,1
Otu2964,0,0,0,0,2,0,0,1,12,1,0,0,13,3,0,3,9,0,0,0,0,0
Otu2965,0,7,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,27,0,6,1,0
Otu2966,0,2,0,0,1,0,0,0,0,5,1,1,1,16,0,0,0,14,0,0,3,0
Otu2967,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,20,0,13,7,0
Otu2968,0,9,0,0,1,12,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
Otu2970,0,0,0,0,22,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,5,0
Otu2972,0,0,0,0,0,0,0,41,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Otu2973,0,0,0,1,0,0,0,0,0,1,13,1,22,0,0,0,0,1,0,2,2,0
Otu2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,17,0
Otu2976,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,12,0,0,1,0
Otu2977,0,0,0,0,8,0,0,0,1,0,0,0,2,3,0,0,28,0,0,0,1,0
Otu2978,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,13,1,15,2,3,0
Otu2979,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,17,0,0,19,0
Otu2980,0,0,0,0,0,0,0,0,0,6,0,0,19,0,0,0,0,11,0,0,7,0
Otu2981,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,20,6,5,0,7,0
Otu2982,0,0,0,0,0,0,0,0,0,1,0,0,0,31,0,0,2,3,0,0,6,0
Otu2983,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
Otu2984,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,33,0,0,0,0
Otu2985,0,0,0,0,24,0,0,0,1,0,0,0,2,0,0,0,16,0,0,0,0,0
Otu2986,0,15,0,18,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu2987,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,34,0,0,0,1,0
Otu2988,0,3,1,0,11,1,0,1,2,8,0,0,14,0,0,2,0,0,0,0,0,0
Otu2989,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,37,0,0
Otu2990,0,1,0,0,15,0,0,0,0,17,0,0,5,0,0,0,0,2,0,0,3,0
Otu2991,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,1,0,25,0,2,2,0
Otu2992,0,0,0,0,0,8,0,2,26,0,0,0,0,0,0,0,6,0,0,0,1,0
Otu2993,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,26,0,1,0,0
Otu2994,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,22,16,0,0
Otu2995,0,8,0,1,0,0,0,0,0,0,0,25,3,0,0,5,0,0,0,1,0,0
Otu2997,0,0,0,0,0,0,0,0,0,4,0,11,7,5,0,1,0,12,0,0,3,0
Otu2998,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,14,0,0,0,0
Otu2999,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,7,0,31,0
Otu3000,0,1,0,0,0,0,0,0,0,0,1,3,8,0,0,0,0,6,0,18,6,0
Otu3001,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,37,0,2,1,0
Otu3002,0,0,0,0,0,0,0,0,0,3,0,0,28,0,0,0,0,4,0,0,8,0
Otu3003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,8,32,0,0
Otu3004,0,4,0,0,2,0,0,0,0,3,2,0,12,0,0,0,0,5,0,5,10,0
Otu3005,0,8,0,0,28,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,0
Otu3006,0,37,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Otu3007,0,1,0,0,4,0,0,0,0,9,3,1,21,0,0,0,2,1,0,0,1,0
Otu3008,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Otu3009,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0
Otu3010,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,27,7,3,0
Otu3011,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,2,19,0,1,13,0
Otu3012,0,5,19,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3013,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,1,18,15,1,0
Otu3014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,2,32,0
Otu3015,0,11,0,0,2,2,0,0,0,0,0,0,0,7,11,0,1,0,3,4,1,0
Otu3016,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,1,3,1,16,12,3,0
Otu3017,0,0,0,0,0,0,0,0,0,14,0,26,2,0,0,0,0,0,0,0,0,0
Otu3018,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,0,13,5,0
Otu3020,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
Otu3021,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,4,8,0,21,0,0
Otu3022,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,1,0,0,0,0,0
Otu3023,0,0,0,0,1,0,0,0,17,0,0,0,2,0,0,0,22,0,0,0,0,0
Otu3024,0,27,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,2,4,1,0,0
Otu3025,0,1,0,0,1,1,0,0,0,1,0,0,9,2,0,0,1,25,0,0,1,0
Otu3027,0,10,0,0,3,0,0,0,0,2,0,0,5,10,0,0,1,5,0,0,6,0
Otu3028,0,2,1,9,22,0,0,0,0,1,1,2,1,0,0,3,0,0,0,0,0,0
Otu3029,0,9,0,3,3,10,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0
Otu3030,0,1,0,0,4,0,0,0,0,2,0,0,30,0,0,0,5,0,0,0,0,0
Otu3031,0,0,30,1,0,0,0,0,0,0,1,0,0,0,6,0,0,1,2,1,0,0
Otu3032,0,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3033,0,0,0,1,0,0,0,0,0,2,0,13,6,0,0,0,0,11,0,1,8,0
Otu3034,0,0,0,39,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Otu3035,0,0,0,0,6,0,0,0,12,2,5,0,13,0,0,0,3,0,0,0,1,0
Otu3036,0,0,0,0,1,39,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Otu3037,0,14,0,0,0,11,1,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3039,0,0,0,0,0,0,0,0,0,2,1,0,39,0,0,0,0,0,0,0,0,0
Otu3040,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Otu3041,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3042,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,5,16,0
Otu3043,0,0,0,0,18,0,0,0,1,6,0,0,15,0,0,0,1,0,0,0,1,0
Otu3044,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Otu3045,0,0,0,0,7,0,0,0,0,2,0,0,1,0,0,0,0,7,6,6,13,0
Otu3046,0,1,0,1,1,1,0,0,1,18,0,0,8,0,0,0,0,8,0,2,1,0
Otu3047,0,1,0,0,2,10,0,2,7,0,0,0,1,0,0,0,5,9,3,0,2,0
Otu3048,0,3,0,1,19,0,0,0,2,12,0,0,4,0,0,0,0,1,0,0,0,0
Otu3049,0,1,0,0,26,8,0,0,1,0,0,0,1,0,0,0,0,0,4,1,0,0
Otu3050,0,0,0,0,0,0,0,0,0,7,0,1,31,0,0,0,0,0,0,1,2,0
Otu3051,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,5,17,4,0,1,0,0
Otu3053,0,0,0,0,0,0,0,0,0,5,1,0,32,0,0,0,0,0,0,0,4,0
Otu3054,0,1,0,0,2,12,0,1,7,7,0,10,1,0,0,0,1,0,0,0,0,0
Otu3055,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,38,0,0,0,0
Otu3056,0,5,0,0,10,0,0,0,0,1,0,0,0,13,0,0,5,5,0,0,3,0
Otu3057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
Otu3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,38,0
Otu3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,26,0
Otu3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,27,0
Otu3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,28,5,0
Otu3063,0,0,0,0,0,0,17,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,37,0
Otu3066,0,0,0,10,0,0,0,0,1,0,13,0,0,0,0,0,0,0,17,0,0,0
Otu3067,0,2,0,0,36,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Otu3068,0,0,0,0,0,28,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3069,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,1,23,0,0,0,0,0
Otu3070,0,0,0,0,3,0,1,2,32,0,0,0,3,0,0,0,0,0,0,0,0,0
Otu3071,0,20,0,0,3,0,0,0,0,0,0,0,0,2,0,0,15,1,0,0,0,0
Otu3072,0,0,0,0,1,2,0,0,1,0,0,0,30,0,0,0,1,2,0,0,4,0
Otu3073,0,38,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Otu3074,0,28,0,0,0,0,0,0,0,0,2,1,1,6,0,0,1,1,0,1,0,0
Otu3076,0,0,0,0,1,0,0,0,0,5,0,8,7,3,0,0,6,6,0,0,5,0
Otu3077,0,1,0,0,1,2,0,1,2,17,4,0,5,0,0,0,0,1,5,2,0,0
Otu3078,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,5,0
Otu3079,0,0,0,0,17,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0
Otu3080,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,8,9,0
Otu3081,0,8,0,0,0,4,0,0,0,12,0,0,0,3,0,0,0,14,0,0,0,0
Otu3083,0,0,0,28,0,0,0,0,0,0,0,1,0,0,2,0,0,0,10,0,0,0
Otu3084,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37,0,1,0
Otu3085,0,0,7,31,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3086,0,1,0,0,0,0,0,0,0,5,6,0,4,1,2,0,1,5,5,11,0,0
Otu3087,0,1,0,0,0,35,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3088,0,6,0,2,3,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3089,0,0,1,2,3,1,0,5,4,1,2,4,1,0,0,6,2,0,0,5,3,1
Otu3090,0,29,2,0,3,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Otu3091,0,33,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0
Otu3092,0,5,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
Otu3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,20,1,0
Otu3094,0,0,0,0,0,0,0,0,0,0,25,3,1,0,0,0,0,0,12,0,0,0
Otu3095,0,0,0,0,0,0,0,0,0,0,1,0,1,15,0,0,0,11,10,1,2,0
Otu3096,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,2,31,0
Otu3097,0,0,0,0,0,0,0,0,0,0,4,30,2,0,0,0,0,1,0,3,1,0
Otu3098,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,39,0,0,0
Otu3099,0,0,0,0,0,0,0,0,0,0,10,0,27,0,0,0,0,0,1,2,1,0
Otu3100,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,26,0,8,4,0
Otu3102,0,0,0,0,0,0,0,0,0,2,0,0,38,0,0,0,0,0,0,0,1,0
Otu3104,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,8,1,0,0,0,0
Otu3105,0,0,0,0,0,0,0,0,0,11,0,2,9,0,0,0,1,17,0,0,1,0
Otu3107,0,0,0,0,0,2,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3108,0,0,0,0,0,0,0,0,0,11,0,0,30,0,0,0,0,0,0,0,0,0
Otu3109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,10,0
Otu3110,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,5,0,1,31,0
Otu3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,9,0
Otu3112,0,0,0,0,0,0,0,0,0,1,0,0,33,0,0,0,7,0,0,0,0,0
Otu3113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,1,0
Otu3115,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,33,0,1,1,0
Otu3116,0,0,0,0,0,0,0,0,0,4,2,0,8,0,0,0,0,7,0,0,20,0
Otu3117,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,3,0,23,8,0
Otu3118,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19,0,11,7,0
Otu3119,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
Otu3120,0,0,0,0,0,0,0,0,0,37,1,0,3,0,0,0,0,0,0,0,0,0
Otu3121,0,0,0,0,0,18,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3122,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0
Otu3123,0,1,0,0,1,0,0,34,0,0,0,0,0,1,0,0,1,1,0,1,0,0
Otu3124,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,27,0,0,9,0
Otu3125,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,3,0,16,7,0
Otu3126,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0,0,1,2,11,8,3,0
Otu3127,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,2,5,0,0,19,0
Otu3128,0,5,0,2,1,0,0,3,0,0,0,3,2,4,0,13,3,2,0,1,1,0
Otu3129,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,3,21,0
Otu3130,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,25,8,0
Otu3132,0,24,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Otu3133,0,2,0,0,0,1,0,7,0,3,1,1,4,5,0,0,0,8,0,0,8,0
Otu3134,0,1,0,1,4,0,0,1,0,0,0,3,3,1,0,17,3,4,0,0,2,0
Otu3135,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3136,0,0,0,0,0,0,0,0,0,20,3,5,4,1,0,0,0,6,0,1,0,0
Otu3137,0,0,0,0,0,13,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu3138,0,0,0,0,1,21,7,2,4,2,1,0,1,0,0,0,0,0,0,0,1,0
Otu3139,0,1,0,0,0,0,0,0,0,7,0,3,5,1,0,14,0,1,0,4,4,0
Otu3140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,32,0
