,EXT_NEG_LY_S21_L001,LY_BR1_D_S11_L001,LY_BR1_Detrit_S1_L001,LY_BR1_Toxo_S6_L001,LY_BR1_W1_S16_L001,LY_BR2_D_S12_L001,LY_BR2_Detrit_S2_L001,LY_BR2_Toxo_S7_L001,LY_BR2_W2_S17_L001,LY_BR3_D_S13_L001,LY_BR3_Detrit_S3_L001,LY_BR3_Toxo_S8_L001,LY_BR3_W1_S18_L001,LY_BR4_D_S14_L001,LY_BR4_Detrit_S4_L001,LY_BR4_Toxo_S9_L001,LY_BR4_W1_S19_L001,LY_BR5_D_S15_L001,LY_BR5_Detrit_S5_L001,LY_BR5_Toxo_S10_L001,LY_BR5_W1_S20_L001,PCR_pos_LY_S22_L001
Otu0307,0,32,1,16,13,0,1,0,0,3,2,37,6,198,14,270,66,1,3,19,2,0
Otu0308,0,0,0,0,16,0,0,0,2,6,13,385,87,2,0,5,164,0,0,1,0,0
Otu0310,675,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu0311,0,1,0,0,0,2,0,0,0,27,0,0,17,547,0,0,2,69,0,1,6,0
Otu0312,0,6,0,3,117,0,0,0,0,78,3,4,286,1,0,133,4,14,0,3,19,0
Otu0313,0,155,0,0,3,490,0,0,0,0,0,0,0,0,0,0,0,8,0,8,4,0
Otu0314,0,64,62,1,17,0,9,0,0,6,9,3,114,0,3,0,0,2,301,10,66,0
Otu0315,0,0,0,0,4,1,0,0,0,348,0,1,104,0,0,0,0,64,0,1,144,0
Otu0316,0,2,525,43,84,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,2,0
Otu0317,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,663
Otu0319,0,0,626,28,2,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0
Otu0320,0,45,0,1,7,53,0,30,14,189,2,12,131,5,29,2,19,53,0,10,59,0
Otu0321,0,0,6,0,64,0,12,5,8,1,240,0,13,0,276,0,30,0,3,1,0,0
Otu0323,0,0,0,0,1,624,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
